family,date,sales
BEVERAGES,2013-01-06,343176.0
BEVERAGES,2013-01-13,395261.0
BEVERAGES,2013-01-20,398667.0
BEVERAGES,2013-01-27,363118.0
BEVERAGES,2013-02-03,379430.0
BEVERAGES,2013-02-10,362174.0
BEVERAGES,2013-02-17,382892.0
BEVERAGES,2013-02-24,376604.0
BEVERAGES,2013-03-03,408597.0
BEVERAGES,2013-03-10,414002.0
BEVERAGES,2013-03-17,387633.0
BEVERAGES,2013-03-24,376895.0
BEVERAGES,2013-03-31,412678.0
BEVERAGES,2013-04-07,441419.0
BEVERAGES,2013-04-14,412046.0
BEVERAGES,2013-04-21,399330.0
BEVERAGES,2013-04-28,394891.0
BEVERAGES,2013-05-05,452789.0
BEVERAGES,2013-05-12,401141.0
BEVERAGES,2013-05-19,430124.0
BEVERAGES,2013-05-26,396376.0
BEVERAGES,2013-06-02,424726.0
BEVERAGES,2013-06-09,426212.0
BEVERAGES,2013-06-16,403539.0
BEVERAGES,2013-06-23,416427.0
BEVERAGES,2013-06-30,397330.0
BEVERAGES,2013-07-07,403459.0
BEVERAGES,2013-07-14,364895.0
BEVERAGES,2013-07-21,373483.0
BEVERAGES,2013-07-28,378675.0
BEVERAGES,2013-08-04,416164.0
BEVERAGES,2013-08-11,402712.0
BEVERAGES,2013-08-18,401151.0
BEVERAGES,2013-08-25,397122.0
BEVERAGES,2013-09-01,440996.0
BEVERAGES,2013-09-08,465327.0
BEVERAGES,2013-09-15,428211.0
BEVERAGES,2013-09-22,435320.0
BEVERAGES,2013-09-29,425908.0
BEVERAGES,2013-10-06,459752.0
BEVERAGES,2013-10-13,432458.0
BEVERAGES,2013-10-20,413214.0
BEVERAGES,2013-10-27,404887.0
BEVERAGES,2013-11-03,437991.0
BEVERAGES,2013-11-10,453556.0
BEVERAGES,2013-11-17,442226.0
BEVERAGES,2013-11-24,422023.0
BEVERAGES,2013-12-01,444877.0
BEVERAGES,2013-12-08,474920.0
BEVERAGES,2013-12-15,474963.0
BEVERAGES,2013-12-22,507480.0
BEVERAGES,2013-12-29,490514.0
BEVERAGES,2014-01-05,945566.0
BEVERAGES,2014-01-12,969125.0
BEVERAGES,2014-01-19,955126.0
BEVERAGES,2014-01-26,929288.0
BEVERAGES,2014-02-02,731437.0
BEVERAGES,2014-02-09,469922.0
BEVERAGES,2014-02-16,494705.0
BEVERAGES,2014-02-23,466331.0
BEVERAGES,2014-03-02,639190.0
BEVERAGES,2014-03-09,1082450.0
BEVERAGES,2014-03-16,942669.0
BEVERAGES,2014-03-23,952345.0
BEVERAGES,2014-03-30,959818.0
BEVERAGES,2014-04-06,621362.0
BEVERAGES,2014-04-13,500114.0
BEVERAGES,2014-04-20,499846.0
BEVERAGES,2014-04-27,473147.0
BEVERAGES,2014-05-04,500945.0
BEVERAGES,2014-05-11,464211.0
BEVERAGES,2014-05-18,472106.0
BEVERAGES,2014-05-25,450441.0
BEVERAGES,2014-06-01,470280.0
BEVERAGES,2014-06-08,504227.0
BEVERAGES,2014-06-15,469083.0
BEVERAGES,2014-06-22,497868.0
BEVERAGES,2014-06-29,450944.0
BEVERAGES,2014-07-06,998377.0
BEVERAGES,2014-07-13,918220.0
BEVERAGES,2014-07-20,945163.0
BEVERAGES,2014-07-27,913434.0
BEVERAGES,2014-08-03,730932.0
BEVERAGES,2014-08-10,456714.0
BEVERAGES,2014-08-17,455281.0
BEVERAGES,2014-08-24,455634.0
BEVERAGES,2014-08-31,475390.0
BEVERAGES,2014-09-07,1131264.0
BEVERAGES,2014-09-14,983366.0
BEVERAGES,2014-09-21,987933.0
BEVERAGES,2014-09-28,951707.0
BEVERAGES,2014-10-05,1110383.0
BEVERAGES,2014-10-12,996383.0
BEVERAGES,2014-10-19,1007980.0
BEVERAGES,2014-10-26,957481.0
BEVERAGES,2014-11-02,896932.0
BEVERAGES,2014-11-09,1160004.0
BEVERAGES,2014-11-16,977349.0
BEVERAGES,2014-11-23,971954.0
BEVERAGES,2014-11-30,991564.0
BEVERAGES,2014-12-07,1124578.0
BEVERAGES,2014-12-14,1065119.0
BEVERAGES,2014-12-21,1114362.0
BEVERAGES,2014-12-28,1026015.0
BEVERAGES,2015-01-04,870126.0
BEVERAGES,2015-01-11,592503.0
BEVERAGES,2015-01-18,551581.0
BEVERAGES,2015-01-25,510186.0
BEVERAGES,2015-02-01,518450.0
BEVERAGES,2015-02-08,537556.0
BEVERAGES,2015-02-15,513533.0
BEVERAGES,2015-02-22,588238.0
BEVERAGES,2015-03-01,527877.0
BEVERAGES,2015-03-08,564253.0
BEVERAGES,2015-03-15,538044.0
BEVERAGES,2015-03-22,491863.0
BEVERAGES,2015-03-29,487493.0
BEVERAGES,2015-04-05,542678.0
BEVERAGES,2015-04-12,551179.0
BEVERAGES,2015-04-19,532415.0
BEVERAGES,2015-04-26,537863.0
BEVERAGES,2015-05-03,603444.0
BEVERAGES,2015-05-10,599518.0
BEVERAGES,2015-05-17,738624.0
BEVERAGES,2015-05-24,705282.0
BEVERAGES,2015-05-31,1148094.0
BEVERAGES,2015-06-07,1213677.0
BEVERAGES,2015-06-14,1083104.0
BEVERAGES,2015-06-21,1100288.0
BEVERAGES,2015-06-28,1084973.0
BEVERAGES,2015-07-05,1235782.0
BEVERAGES,2015-07-12,1087719.0
BEVERAGES,2015-07-19,1036965.0
BEVERAGES,2015-07-26,1010871.0
BEVERAGES,2015-08-02,1082742.0
BEVERAGES,2015-08-09,1041690.0
BEVERAGES,2015-08-16,1153580.0
BEVERAGES,2015-08-23,1045599.0
BEVERAGES,2015-08-30,1079183.0
BEVERAGES,2015-09-06,1427123.0
BEVERAGES,2015-09-13,1273003.0
BEVERAGES,2015-09-20,1274411.0
BEVERAGES,2015-09-27,1237289.0
BEVERAGES,2015-10-04,1360042.0
BEVERAGES,2015-10-11,1262961.0
BEVERAGES,2015-10-18,1178516.0
BEVERAGES,2015-10-25,1123046.0
BEVERAGES,2015-11-01,1012480.0
BEVERAGES,2015-11-08,1300124.0
BEVERAGES,2015-11-15,1111074.0
BEVERAGES,2015-11-22,1123847.0
BEVERAGES,2015-11-29,1114457.0
BEVERAGES,2015-12-06,1281595.0
BEVERAGES,2015-12-13,1188989.0
BEVERAGES,2015-12-20,1223513.0
BEVERAGES,2015-12-27,1177640.0
BEVERAGES,2016-01-03,1326089.0
BEVERAGES,2016-01-10,1361790.0
BEVERAGES,2016-01-17,1160667.0
BEVERAGES,2016-01-24,1125070.0
BEVERAGES,2016-01-31,1105470.0
BEVERAGES,2016-02-07,1148425.0
BEVERAGES,2016-02-14,1133897.0
BEVERAGES,2016-02-21,1168159.0
BEVERAGES,2016-02-28,1121933.0
BEVERAGES,2016-03-06,1267907.0
BEVERAGES,2016-03-13,1109723.0
BEVERAGES,2016-03-20,1111627.0
BEVERAGES,2016-03-27,1104068.0
BEVERAGES,2016-04-03,1238918.0
BEVERAGES,2016-04-10,1177668.0
BEVERAGES,2016-04-17,1166211.0
BEVERAGES,2016-04-24,1730603.0
BEVERAGES,2016-05-01,1196374.0
BEVERAGES,2016-05-08,1215572.0
BEVERAGES,2016-05-15,1175238.0
BEVERAGES,2016-05-22,1124359.0
BEVERAGES,2016-05-29,1056272.0
BEVERAGES,2016-06-05,1200478.0
BEVERAGES,2016-06-12,999836.0
BEVERAGES,2016-06-19,1044342.0
BEVERAGES,2016-06-26,1066926.0
BEVERAGES,2016-07-03,1120856.0
BEVERAGES,2016-07-10,1101970.0
BEVERAGES,2016-07-17,1043018.0
BEVERAGES,2016-07-24,1012486.0
BEVERAGES,2016-07-31,1055073.0
BEVERAGES,2016-08-07,1155476.0
BEVERAGES,2016-08-14,1080380.0
BEVERAGES,2016-08-21,1130612.0
BEVERAGES,2016-08-28,1071620.0
BEVERAGES,2016-09-04,1253992.0
BEVERAGES,2016-09-11,1207442.0
BEVERAGES,2016-09-18,1084355.0
BEVERAGES,2016-09-25,1062888.0
BEVERAGES,2016-10-02,1174809.0
BEVERAGES,2016-10-09,1178384.0
BEVERAGES,2016-10-16,1113727.0
BEVERAGES,2016-10-23,1111548.0
BEVERAGES,2016-10-30,1078657.0
BEVERAGES,2016-11-06,1398627.0
BEVERAGES,2016-11-13,1311701.0
BEVERAGES,2016-11-20,1312090.0
BEVERAGES,2016-11-27,1272342.0
BEVERAGES,2016-12-04,1399914.0
BEVERAGES,2016-12-11,1342912.0
BEVERAGES,2016-12-18,1288254.0
BEVERAGES,2016-12-25,1250784.0
BEVERAGES,2017-01-01,1271454.0
BEVERAGES,2017-01-08,1714281.0
BEVERAGES,2017-01-15,1395062.0
BEVERAGES,2017-01-22,1431048.0
BEVERAGES,2017-01-29,1285322.0
BEVERAGES,2017-02-05,1362405.0
BEVERAGES,2017-02-12,1263005.0
BEVERAGES,2017-02-19,1199955.0
BEVERAGES,2017-02-26,1205691.0
BEVERAGES,2017-03-05,1483081.0
BEVERAGES,2017-03-12,1335778.0
BEVERAGES,2017-03-19,1426100.0
BEVERAGES,2017-03-26,1409934.0
BEVERAGES,2017-04-02,1457075.0
BEVERAGES,2017-04-09,1370345.0
BEVERAGES,2017-04-16,1312699.0
BEVERAGES,2017-04-23,1319957.0
BEVERAGES,2017-04-30,1325665.0
BEVERAGES,2017-05-07,1524916.0
BEVERAGES,2017-05-14,1199891.0
BEVERAGES,2017-05-21,1317735.0
BEVERAGES,2017-05-28,1290194.0
BEVERAGES,2017-06-04,1493682.0
BEVERAGES,2017-06-11,1465103.0
BEVERAGES,2017-06-18,1313649.0
BEVERAGES,2017-06-25,1274435.0
BEVERAGES,2017-07-02,1326264.0
BEVERAGES,2017-07-09,1368223.0
BEVERAGES,2017-07-16,1361851.0
BEVERAGES,2017-07-23,1348452.0
BEVERAGES,2017-07-30,1361379.0
BEVERAGES,2017-08-06,1436505.0
BEVERAGES,2017-08-13,1223297.0
BEVERAGES,2017-08-20,345605.0
GROCERY I,2013-01-06,879005.0
GROCERY I,2013-01-13,915954.0
GROCERY I,2013-01-20,907152.0
GROCERY I,2013-01-27,894625.0
GROCERY I,2013-02-03,990025.0
GROCERY I,2013-02-10,945241.0
GROCERY I,2013-02-17,991277.0
GROCERY I,2013-02-24,966006.0
GROCERY I,2013-03-03,1079562.0
GROCERY I,2013-03-10,1049058.0
GROCERY I,2013-03-17,982472.0
GROCERY I,2013-03-24,995216.0
GROCERY I,2013-03-31,1035894.0
GROCERY I,2013-04-07,1190640.0
GROCERY I,2013-04-14,1040459.0
GROCERY I,2013-04-21,1055884.0
GROCERY I,2013-04-28,995625.0
GROCERY I,2013-05-05,1261779.0
GROCERY I,2013-05-12,1063696.0
GROCERY I,2013-05-19,1074601.0
GROCERY I,2013-05-26,1030879.0
GROCERY I,2013-06-02,1167501.0
GROCERY I,2013-06-09,1204309.0
GROCERY I,2013-06-16,1033460.0
GROCERY I,2013-06-23,1068733.0
GROCERY I,2013-06-30,1092219.0
GROCERY I,2013-07-07,1250142.0
GROCERY I,2013-07-14,1055076.0
GROCERY I,2013-07-21,1072602.0
GROCERY I,2013-07-28,1041072.0
GROCERY I,2013-08-04,1242908.0
GROCERY I,2013-08-11,1150829.0
GROCERY I,2013-08-18,1119594.0
GROCERY I,2013-08-25,1092125.0
GROCERY I,2013-09-01,1196595.0
GROCERY I,2013-09-08,1286503.0
GROCERY I,2013-09-15,1102492.0
GROCERY I,2013-09-22,1080616.0
GROCERY I,2013-09-29,1064930.0
GROCERY I,2013-10-06,1313815.0
GROCERY I,2013-10-13,1112692.0
GROCERY I,2013-10-20,1144282.0
GROCERY I,2013-10-27,1077439.0
GROCERY I,2013-11-03,1218645.0
GROCERY I,2013-11-10,1234171.0
GROCERY I,2013-11-17,1131645.0
GROCERY I,2013-11-24,1094186.0
GROCERY I,2013-12-01,1180659.0
GROCERY I,2013-12-08,1377497.0
GROCERY I,2013-12-15,1394415.0
GROCERY I,2013-12-22,1669781.0
GROCERY I,2013-12-29,1318779.0
GROCERY I,2014-01-05,1308389.179
GROCERY I,2014-01-12,1172560.092
GROCERY I,2014-01-19,1103189.226
GROCERY I,2014-01-26,1087640.466
GROCERY I,2014-02-02,1176831.574
GROCERY I,2014-02-09,1209901.0
GROCERY I,2014-02-16,1149529.0
GROCERY I,2014-02-23,1097424.0
GROCERY I,2014-03-02,1171570.644
GROCERY I,2014-03-09,1374088.681
GROCERY I,2014-03-16,1180230.197
GROCERY I,2014-03-23,1183400.187
GROCERY I,2014-03-30,1181154.0
